FIPS Code,State and area,Year,Month,Population,Labor_Force_Total,Labor_Force_Percent_of_Population,Employment_Total,Employment_Percent_of_Population,Unemployment_Total,Unemployment_Rate
13,Georgia,2020,10,"8,322,952   ","5,187,767   ",62.3   ,"4,897,372   ",58.8   ,"290,395   ",5.6   
15,Hawaii,2020,10,"1,121,363   ","642,471   ",57.3   ,"564,967   ",50.4   ,"77,504   ",12.1   
16,Idaho,2020,10,"1,432,489   ","901,471   ",62.9   ,"862,354   ",60.2   ,"39,117   ",4.3   
17,Illinois,2020,10,"10,084,634   ","6,278,117   ",62.3   ,"5,767,334   ",57.2   ,"510,783   ",8.1   
18,Indiana,2020,10,"5,296,705   ","3,337,720   ",63.0   ,"3,154,581   ",59.6   ,"183,139   ",5.5   
19,Iowa,2020,10,"2,499,209   ","1,652,825   ",66.1   ,"1,577,987   ",63.1   ,"74,838   ",4.5   
20,Kansas,2020,10,"2,250,652   ","1,496,277   ",66.5   ,"1,426,269   ",63.4   ,"70,008   ",4.7   
21,Kentucky,2020,10,"3,527,122   ","2,003,161   ",56.8   ,"1,904,902   ",54.0   ,"98,259   ",4.9   
22,Louisiana,2020,10,"3,578,152   ","2,061,330   ",57.6   ,"1,897,015   ",53.0   ,"164,315   ",8.0   
23,Maine,2020,10,"1,129,759   ","669,712   ",59.3   ,"642,421   ",56.9   ,"27,291   ",4.1   
24,Maryland,2020,10,"4,862,409   ","3,151,947   ",64.8   ,"2,956,469   ",60.8   ,"195,478   ",6.2   
25,Massachusetts,2020,10,"5,739,992   ","3,755,312   ",65.4   ,"3,431,706   ",59.8   ,"323,606   ",8.6   
26,Michigan,2020,10,"8,061,055   ","4,802,783   ",59.6   ,"4,441,635   ",55.1   ,"361,148   ",7.5   
27,Minnesota,2020,10,"4,484,438   ","3,094,425   ",69.0   ,"2,925,515   ",65.2   ,"168,910   ",5.5   
28,Mississippi,2020,10,"2,278,791   ","1,249,542   ",54.8   ,"1,164,123   ",51.1   ,"85,419   ",6.8   
29,Missouri,2020,10,"4,837,417   ","3,061,264   ",63.3   ,"2,893,155   ",59.8   ,"168,109   ",5.5   
30,Montana,2020,10,"869,680   ","542,290   ",62.4   ,"518,070   ",59.6   ,"24,220   ",4.5   
31,Nebraska,2020,10,"1,504,793   ","1,040,462   ",69.1   ,"1,009,793   ",67.1   ,"30,669   ",2.9   
32,Nevada,2020,10,"2,465,847   ","1,516,600   ",61.5   ,"1,333,401   ",54.1   ,"183,199   ",12.1   
33,New Hampshire,2020,10,"1,142,079   ","757,130   ",66.3   ,"717,628   ",62.8   ,"39,502   ",5.2   
34,New Jersey,2020,10,"7,382,760   ","4,574,059   ",62.0   ,"4,229,655   ",57.3   ,"344,404   ",7.5   
35,New Mexico,2020,10,"1,659,800   ","953,379   ",57.4   ,"873,742   ",52.6   ,"79,637   ",8.4   
36,New York,2020,10,"16,153,550   ","9,410,966   ",58.3   ,"8,533,486   ",52.8   ,"877,480   ",9.3   
51000,New York city,2020,10,"7,033,052   ","3,998,811   ",56.9   ,"3,458,213   ",49.2   ,"540,598   ",13.5   
37,North Carolina,2020,10,"8,251,935   ","4,852,850   ",58.8   ,"4,570,276   ",55.4   ,"282,574   ",5.8   
38,North Dakota,2020,10,"594,539   ","410,189   ",69.0   ,"388,564   ",65.4   ,"21,625   ",5.3   
39,Ohio,2020,10,"9,318,948   ","5,724,911   ",61.4   ,"5,333,474   ",57.2   ,"391,437   ",6.8   
40,Oklahoma,2020,10,"3,041,757   ","1,847,196   ",60.7   ,"1,747,099   ",57.4   ,"100,097   ",5.4   
41,Oregon,2020,10,"3,439,040   ","2,123,899   ",61.8   ,"1,978,535   ",57.5   ,"145,364   ",6.8   
42,Pennsylvania,2020,10,"10,425,912   ","6,481,120   ",62.2   ,"5,942,848   ",57.0   ,"538,272   ",8.3   
44,Rhode Island,2020,10,"896,459   ","560,504   ",62.5   ,"521,896   ",58.2   ,"38,608   ",6.9   
45,South Carolina,2020,10,"4,074,661   ","2,347,401   ",57.6   ,"2,221,881   ",54.5   ,"125,520   ",5.3   
46,South Dakota,2020,10,"676,986   ","463,872   ",68.5   ,"446,754   ",66.0   ,"17,118   ",3.7   
47,Tennessee,2020,10,"5,470,318   ","3,311,852   ",60.5   ,"3,108,454   ",56.8   ,"203,398   ",6.1   
48,Texas,2020,10,"22,222,949   ","13,988,179   ",62.9   ,"13,001,357   ",58.5   ,"986,822   ",7.1   
49,Utah,2020,10,"2,433,864   ","1,653,401   ",67.9   ,"1,589,107   ",65.3   ,"64,294   ",3.9   
50,Vermont,2020,10,"535,310   ","328,559   ",61.4   ,"315,478   ",58.9   ,"13,081   ",4.0   
51,Virginia,2020,10,"6,768,378   ","4,302,708   ",63.6   ,"4,061,102   ",60.0   ,"241,606   ",5.6   
53,Washington,2020,10,"6,120,798   ","3,866,641   ",63.2   ,"3,591,665   ",58.7   ,"274,976   ",7.1   
54,West Virginia,2020,10,"1,445,308   ","779,782   ",54.0   ,"725,993   ",50.2   ,"53,789   ",6.9   
55,Wisconsin,2020,10,"4,698,556   ","3,113,061   ",66.3   ,"2,955,887   ",62.9   ,"157,174   ",5.0   
56,Wyoming,2020,10,"451,092   ","291,789   ",64.7   ,"276,377   ",61.3   ,"15,412   ",5.3   
01,Alabama,2020,11,"3,964,629   ","2,271,915   ",57.3   ,"2,162,940   ",54.6   ,"108,975   ",4.8   
02,Alaska,2020,11,"544,653   ","346,817   ",63.7   ,"321,790   ",59.1   ,"25,027   ",7.2   
04,Arizona,2020,11,"5,694,502   ","3,475,251   ",61.0   ,"3,250,125   ",57.1   ,"225,126   ",6.5   
05,Arkansas,2020,11,"2,348,125   ","1,337,106   ",56.9   ,"1,268,131   ",54.0   ,"68,975   ",5.2   
06,California,2020,11,"31,081,213   ","18,600,782   ",59.8   ,"16,892,595   ",54.3   ,"1,708,187   ",9.2   
037,Los Angeles County,2020,11,"8,022,114   ","4,875,024   ",60.8   ,"4,335,682   ",54.0   ,"539,342   ",11.1   
08,Colorado,2020,11,"4,598,200   ","3,092,744   ",67.3   ,"2,901,044   ",63.1   ,"191,700   ",6.2   
09,Connecticut,2020,11,"2,918,699   ","1,856,081   ",63.6   ,"1,711,450   ",58.6   ,"144,631   ",7.8   
10,Delaware,2020,11,"797,656   ","487,151   ",61.1   ,"460,683   ",57.8   ,"26,468   ",5.4   
11,District of Columbia,2020,11,"558,496   ","382,445   ",68.5   ,"352,533   ",63.1   ,"29,912   ",7.8   
12,Florida,2020,11,"17,565,158   ","10,108,485   ",57.5   ,"9,434,846   ",53.7   ,"673,639   ",6.7   
13,Georgia,2020,11,"8,330,700   ","5,179,170   ",62.2   ,"4,904,628   ",58.9   ,"274,542   ",5.3   
15,Hawaii,2020,11,"1,120,947   ","651,730   ",58.1   ,"581,486   ",51.9   ,"70,244   ",10.8   
16,Idaho,2020,11,"1,436,571   ","903,867   ",62.9   ,"866,139   ",60.3   ,"37,728   ",4.2   
17,Illinois,2020,11,"10,079,898   ","6,277,488   ",62.3   ,"5,792,044   ",57.5   ,"485,444   ",7.7   
18,Indiana,2020,11,"5,299,272   ","3,341,055   ",63.0   ,"3,171,442   ",59.8   ,"169,613   ",5.1   
19,Iowa,2020,11,"2,500,173   ","1,658,195   ",66.3   ,"1,583,691   ",63.3   ,"74,504   ",4.5   
20,Kansas,2020,11,"2,251,275   ","1,497,210   ",66.5   ,"1,430,979   ",63.6   ,"66,231   ",4.4   
21,Kentucky,2020,11,"3,528,029   ","2,008,645   ",56.9   ,"1,910,583   ",54.2   ,"98,062   ",4.9   
22,Louisiana,2020,11,"3,577,114   ","2,059,406   ",57.6   ,"1,905,998   ",53.3   ,"153,408   ",7.4   
23,Maine,2020,11,"1,130,820   ","673,025   ",59.5   ,"645,188   ",57.1   ,"27,837   ",4.1   
24,Maryland,2020,11,"4,863,137   ","3,149,220   ",64.8   ,"2,958,056   ",60.8   ,"191,164   ",6.1   
25,Massachusetts,2020,11,"5,738,772   ","3,753,791   ",65.4   ,"3,450,317   ",60.1   ,"303,474   ",8.1   
26,Michigan,2020,11,"8,061,909   ","4,786,854   ",59.4   ,"4,448,752   ",55.2   ,"338,102   ",7.1   
27,Minnesota,2020,11,"4,485,692   ","3,070,597   ",68.5   ,"2,917,073   ",65.0   ,"153,524   ",5.0   
28,Mississippi,2020,11,"2,278,937   ","1,253,634   ",55.0   ,"1,168,828   ",51.3   ,"84,806   ",6.8   
29,Missouri,2020,11,"4,839,557   ","3,057,663   ",63.2   ,"2,896,684   ",59.9   ,"160,979   ",5.3   
30,Montana,2020,11,"871,210   ","542,240   ",62.2   ,"519,562   ",59.6   ,"22,678   ",4.2   
31,Nebraska,2020,11,"1,505,432   ","1,040,435   ",69.1   ,"1,010,992   ",67.2   ,"29,443   ",2.8   
32,Nevada,2020,11,"2,468,745   ","1,518,249   ",61.5   ,"1,347,817   ",54.6   ,"170,432   ",11.2   
33,New Hampshire,2020,11,"1,143,252   ","756,730   ",66.2   ,"720,314   ",63.0   ,"36,416   ",4.8   
34,New Jersey,2020,11,"7,383,843   ","4,609,217   ",62.4   ,"4,264,118   ",57.7   ,"345,099   ",7.5   
35,New Mexico,2020,11,"1,660,443   ","949,234   ",57.2   ,"872,941   ",52.6   ,"76,293   ",8.0   
36,New York,2020,11,"16,134,997   ","9,403,074   ",58.3   ,"8,551,035   ",53.0   ,"852,039   ",9.1   
51000,New York city,2020,11,"7,012,728   ","3,992,394   ",56.9   ,"3,460,548   ",49.3   ,"531,846   ",13.3   
37,North Carolina,2020,11,"8,260,610   ","4,868,848   ",58.9   ,"4,596,386   ",55.6   ,"272,462   ",5.6   
38,North Dakota,2020,11,"594,392   ","409,197   ",68.8   ,"388,323   ",65.3   ,"20,874   ",5.1   
39,Ohio,2020,11,"9,320,000   ","5,727,393   ",61.5   ,"5,357,664   ",57.5   ,"369,729   ",6.5   
40,Oklahoma,2020,11,"3,044,033   ","1,851,037   ",60.8   ,"1,753,412   ",57.6   ,"97,625   ",5.3   
41,Oregon,2020,11,"3,440,532   ","2,126,407   ",61.8   ,"1,986,027   ",57.7   ,"140,380   ",6.6   
42,Pennsylvania,2020,11,"10,426,221   ","6,473,949   ",62.1   ,"5,956,147   ",57.1   ,"517,802   ",8.0   
44,Rhode Island,2020,11,"896,649   ","563,622   ",62.9   ,"525,037   ",58.6   ,"38,585   ",6.8   
45,South Carolina,2020,11,"4,079,916   ","2,349,304   ",57.6   ,"2,230,215   ",54.7   ,"119,089   ",5.1   
46,South Dakota,2020,11,"677,737   ","464,326   ",68.5   ,"447,767   ",66.1   ,"16,559   ",3.6   
47,Tennessee,2020,11,"5,475,252   ","3,317,441   ",60.6   ,"3,127,258   ",57.1   ,"190,183   ",5.7   
48,Texas,2020,11,"22,251,655   ","14,034,827   ",63.1   ,"13,060,347   ",58.7   ,"974,480   ",6.9   
49,Utah,2020,11,"2,439,006   ","1,657,266   ",67.9   ,"1,596,542   ",65.5   ,"60,724   ",3.7   
50,Vermont,2020,11,"535,695   ","327,603   ",61.2   ,"315,068   ",58.8   ,"12,535   ",3.8   
51,Virginia,2020,11,"6,770,828   ","4,288,791   ",63.3   ,"4,066,868   ",60.1   ,"221,923   ",5.2   
53,Washington,2020,11,"6,124,133   ","3,864,297   ",63.1   ,"3,604,529   ",58.9   ,"259,768   ",6.7   
54,West Virginia,2020,11,"1,445,090   ","780,099   ",54.0   ,"729,465   ",50.5   ,"50,634   ",6.5   
55,Wisconsin,2020,11,"4,700,215   ","3,117,692   ",66.3   ,"2,967,580   ",63.1   ,"150,112   ",4.8   
56,Wyoming,2020,11,"451,403   ","291,440   ",64.6   ,"276,394   ",61.2   ,"15,046   ",5.2   
01,Alabama,2020,12,"3,965,701   ","2,263,225   ",57.1   ,"2,163,877   ",54.6   ,"99,348   ",4.4   
02,Alaska,2020,12,"544,726   ","348,591   ",64.0   ,"323,188   ",59.3   ,"25,403   ",7.3   
04,Arizona,2020,12,"5,702,556   ","3,482,051   ",61.1   ,"3,261,175   ",57.2   ,"220,876   ",6.3   
05,Arkansas,2020,12,"2,349,172   ","1,335,440   ",56.8   ,"1,268,083   ",54.0   ,"67,357   ",5.0   
06,California,2020,12,"31,070,161   ","18,670,917   ",60.1   ,"16,957,946   ",54.6   ,"1,712,971   ",9.2   
037,Los Angeles County,2020,12,"8,013,674   ","4,918,568   ",61.4   ,"4,364,240   ",54.5   ,"554,328   ",11.3   
08,Colorado,2020,12,"4,601,345   ","3,111,186   ",67.6   ,"2,911,239   ",63.3   ,"199,947   ",6.4   
09,Connecticut,2020,12,"2,919,400   ","1,853,792   ",63.5   ,"1,711,536   ",58.6   ,"142,256   ",7.7   
10,Delaware,2020,12,"798,588   ","489,824   ",61.3   ,"462,330   ",57.9   ,"27,494   ",5.6   
11,District of Columbia,2020,12,"556,868   ","380,455   ",68.3   ,"351,999   ",63.2   ,"28,456   ",7.5   
12,Florida,2020,12,"17,580,807   ","10,136,315   ",57.7   ,"9,480,484   ",53.9   ,"655,831   ",6.5   
13,Georgia,2020,12,"8,337,156   ","5,174,962   ",62.1   ,"4,911,188   ",58.9   ,"263,774   ",5.1   
15,Hawaii,2020,12,"1,120,309   ","658,833   ",58.8   ,"594,415   ",53.1   ,"64,418   ",9.8   
16,Idaho,2020,12,"1,440,422   ","906,483   ",62.9   ,"868,813   ",60.3   ,"37,670   ",4.2   
17,Illinois,2020,12,"10,073,621   ","6,282,992   ",62.4   ,"5,812,387   ",57.7   ,"470,605   ",7.5   
18,Indiana,2020,12,"5,301,008   ","3,341,005   ",63.0   ,"3,180,196   ",60.0   ,"160,809   ",4.8   
19,Iowa,2020,12,"2,500,654   ","1,661,964   ",66.5   ,"1,587,317   ",63.5   ,"74,647   ",4.5   
20,Kansas,2020,12,"2,251,544   ","1,496,184   ",66.5   ,"1,433,882   ",63.7   ,"62,302   ",4.2   
21,Kentucky,2020,12,"3,528,352   ","2,012,427   ",57.0   ,"1,914,712   ",54.3   ,"97,715   ",4.9   
22,Louisiana,2020,12,"3,575,550   ","2,058,216   ",57.6   ,"1,913,619   ",53.5   ,"144,597   ",7.0   
23,Maine,2020,12,"1,131,699   ","676,567   ",59.8   ,"647,056   ",57.2   ,"29,511   ",4.4   
24,Maryland,2020,12,"4,863,097   ","3,156,185   ",64.9   ,"2,958,733   ",60.8   ,"197,452   ",6.3   
25,Massachusetts,2020,12,"5,736,702   ","3,751,090   ",65.4   ,"3,461,660   ",60.3   ,"289,430   ",7.7   
26,Michigan,2020,12,"8,061,473   ","4,695,972   ",58.3   ,"4,369,522   ",54.2   ,"326,450   ",7.0   
27,Minnesota,2020,12,"4,486,230   ","3,047,413   ",67.9   ,"2,906,607   ",64.8   ,"140,806   ",4.6   
28,Mississippi,2020,12,"2,278,693   ","1,256,098   ",55.1   ,"1,171,728   ",51.4   ,"84,370   ",6.7   
29,Missouri,2020,12,"4,840,910   ","3,055,656   ",63.1   ,"2,898,598   ",59.9   ,"157,058   ",5.1   
30,Montana,2020,12,"872,555   ","542,452   ",62.2   ,"520,688   ",59.7   ,"21,764   ",4.0   
31,Nebraska,2020,12,"1,505,830   ","1,040,558   ",69.1   ,"1,011,535   ",67.2   ,"29,023   ",2.8   
32,Nevada,2020,12,"2,471,296   ","1,522,404   ",61.6   ,"1,358,304   ",55.0   ,"164,100   ",10.8   
33,New Hampshire,2020,12,"1,144,207   ","756,086   ",66.1   ,"721,820   ",63.1   ,"34,266   ",4.5   
34,New Jersey,2020,12,"7,383,848   ","4,629,359   ",62.7   ,"4,287,060   ",58.1   ,"342,299   ",7.4   
35,New Mexico,2020,12,"1,660,840   ","946,024   ",57.0   ,"871,535   ",52.5   ,"74,489   ",7.9   
36,New York,2020,12,"16,114,081   ","9,382,646   ",58.2   ,"8,555,149   ",53.1   ,"827,497   ",8.8   
51000,New York city,2020,12,"6,992,680   ","3,976,787   ",56.9   ,"3,458,557   ",49.5   ,"518,230   ",13.0   
37,North Carolina,2020,12,"8,267,863   ","4,889,860   ",59.1   ,"4,615,246   ",55.8   ,"274,614   ",5.6   
38,North Dakota,2020,12,"594,147   ","408,184   ",68.7   ,"387,978   ",65.3   ,"20,206   ",5.0   
39,Ohio,2020,12,"9,319,587   ","5,724,862   ",61.4   ,"5,367,917   ",57.6   ,"356,945   ",6.2   
40,Oklahoma,2020,12,"3,045,803   ","1,853,477   ",60.9   ,"1,757,823   ",57.7   ,"95,654   ",5.2   
41,Oregon,2020,12,"3,441,498   ","2,132,173   ",62.0   ,"1,991,479   ",57.9   ,"140,694   ",6.6   
42,Pennsylvania,2020,12,"10,424,847   ","6,462,948   ",62.0   ,"5,962,542   ",57.2   ,"500,406   ",7.7   
44,Rhode Island,2020,12,"896,720   ","565,478   ",63.1   ,"527,526   ",58.8   ,"37,952   ",6.7   
45,South Carolina,2020,12,"4,084,532   ","2,350,683   ",57.6   ,"2,235,662   ",54.7   ,"115,021   ",4.9   
46,South Dakota,2020,12,"678,339   ","464,321   ",68.4   ,"448,299   ",66.1   ,"16,022   ",3.5   
47,Tennessee,2020,12,"5,479,287   ","3,318,929   ",60.6   ,"3,137,768   ",57.3   ,"181,161   ",5.5   
48,Texas,2020,12,"22,277,088   ","14,077,183   ",63.2   ,"13,099,439   ",58.8   ,"977,744   ",6.9   
49,Utah,2020,12,"2,443,791   ","1,660,730   ",68.0   ,"1,602,327   ",65.6   ,"58,403   ",3.5   
50,Vermont,2020,12,"535,960   ","327,087   ",61.0   ,"314,535   ",58.7   ,"12,552   ",3.8   
51,Virginia,2020,12,"6,772,040   ","4,281,135   ",63.2   ,"4,068,950   ",60.1   ,"212,185   ",5.0   
53,Washington,2020,12,"6,126,482   ","3,867,742   ",63.1   ,"3,614,843   ",59.0   ,"252,899   ",6.5   
54,West Virginia,2020,12,"1,444,601   ","781,028   ",54.1   ,"732,293   ",50.7   ,"48,735   ",6.2   
55,Wisconsin,2020,12,"4,701,120   ","3,121,843   ",66.4   ,"2,975,338   ",63.3   ,"146,505   ",4.7   
56,Wyoming,2020,12,"451,589   ","291,200   ",64.5   ,"276,231   ",61.2   ,"14,969   ",5.1   
01,Alabama,2021,01,"3,965,996   ","2,255,058   ",56.9   ,"2,164,668   ",54.6   ,"90,390   ",4.0   
02,Alaska,2021,01,"544,790   ","349,154   ",64.1   ,"324,408   ",59.5   ,"24,746   ",7.1   
04,Arizona,2021,01,"5,709,768   ","3,486,137   ",61.1   ,"3,272,202   ",57.3   ,"213,935   ",6.1   
05,Arkansas,2021,01,"2,349,739   ","1,333,060   ",56.7   ,"1,268,247   ",54.0   ,"64,813   ",4.9   
06,California,2021,01,"31,055,798   ","18,657,907   ",60.1   ,"17,020,492   ",54.8   ,"1,637,415   ",8.8   
037,Los Angeles County,2021,01,"8,005,489   ","4,924,778   ",61.5   ,"4,389,713   ",54.8   ,"535,065   ",10.9   
08,Colorado,2021,01,"4,603,817   ","3,115,249   ",67.7   ,"2,920,988   ",63.4   ,"194,261   ",6.2   
09,Connecticut,2021,01,"2,919,574   ","1,847,172   ",63.3   ,"1,712,261   ",58.6   ,"134,911   ",7.3   
10,Delaware,2021,01,"799,347   ","491,572   ",61.5   ,"463,734   ",58.0   ,"27,838   ",5.7   
11,District of Columbia,2021,01,"555,152   ","377,559   ",68.0   ,"351,348   ",63.3   ,"26,211   ",6.9   
12,Florida,2021,01,"17,593,748   ","10,130,459   ",57.6   ,"9,525,658   ",54.1   ,"604,801   ",6.0   
13,Georgia,2021,01,"8,342,481   ","5,168,344   ",62.0   ,"4,919,056   ",59.0   ,"249,288   ",4.8   
15,Hawaii,2021,01,"1,119,767   ","659,102   ",58.9   ,"604,294   ",54.0   ,"54,808   ",8.3   
16,Idaho,2021,01,"1,443,997   ","907,948   ",62.9   ,"871,201   ",60.3   ,"36,747   ",4.0   
17,Illinois,2021,01,"10,065,710   ","6,274,598   ",62.3   ,"5,830,102   ",57.9   ,"444,496   ",7.1   
18,Indiana,2021,01,"5,301,557   ","3,334,847   ",62.9   ,"3,185,199   ",60.1   ,"149,648   ",4.5   
19,Iowa,2021,01,"2,500,637   ","1,663,589   ",66.5   ,"1,590,464   ",63.6   ,"73,125   ",4.4   
20,Kansas,2021,01,"2,251,437   ","1,493,252   ",66.3   ,"1,436,492   ",63.8   ,"56,760   ",3.8   
21,Kentucky,2021,01,"3,527,981   ","2,014,892   ",57.1   ,"1,918,828   ",54.4   ,"96,064   ",4.8   
22,Louisiana,2021,01,"3,573,348   ","2,054,678   ",57.5   ,"1,920,919   ",53.8   ,"133,759   ",6.5   
23,Maine,2021,01,"1,132,332   ","678,436   ",59.9   ,"648,314   ",57.3   ,"30,122   ",4.4   
24,Maryland,2021,01,"4,862,323   ","3,146,320   ",64.7   ,"2,959,403   ",60.9   ,"186,917   ",5.9   
25,Massachusetts,2021,01,"5,733,544   ","3,735,564   ",65.2   ,"3,471,394   ",60.5   ,"264,170   ",7.1   
26,Michigan,2021,01,"8,059,336   ","4,755,919   ",59.0   ,"4,449,362   ",55.2   ,"306,557   ",6.4   
27,Minnesota,2021,01,"4,485,787   ","3,025,190   ",67.4   ,"2,898,627   ",64.6   ,"126,563   ",4.2   
28,Mississippi,2021,01,"2,278,099   ","1,256,755   ",55.2   ,"1,173,485   ",51.5   ,"83,270   ",6.6   
29,Missouri,2021,01,"4,841,326   ","3,054,179   ",63.1   ,"2,901,666   ",59.9   ,"152,513   ",5.0   
30,Montana,2021,01,"873,764   ","542,480   ",62.1   ,"521,933   ",59.7   ,"20,547   ",3.8   
31,Nebraska,2021,01,"1,505,888   ","1,040,600   ",69.1   ,"1,012,452   ",67.2   ,"28,148   ",2.7   
32,Nevada,2021,01,"2,473,468   ","1,521,871   ",61.5   ,"1,366,383   ",55.2   ,"155,488   ",10.2   
33,New Hampshire,2021,01,"1,144,898   ","754,864   ",65.9   ,"723,083   ",63.2   ,"31,781   ",4.2   
34,New Jersey,2021,01,"7,382,627   ","4,643,010   ",62.9   ,"4,303,514   ",58.3   ,"339,496   ",7.3   
35,New Mexico,2021,01,"1,661,063   ","940,257   ",56.6   ,"870,330   ",52.4   ,"69,927   ",7.4   
36,New York,2021,01,"16,090,433   ","9,362,929   ",58.2   ,"8,554,226   ",53.2   ,"808,703   ",8.6   
51000,New York city,2021,01,"6,972,907   ","3,959,442   ",56.8   ,"3,453,719   ",49.5   ,"505,723   ",12.8   
37,North Carolina,2021,01,"8,274,077   ","4,898,261   ",59.2   ,"4,630,473   ",56.0   ,"267,788   ",5.5   
38,North Dakota,2021,01,"593,805   ","407,188   ",68.6   ,"388,005   ",65.3   ,"19,183   ",4.7   
39,Ohio,2021,01,"9,317,161   ","5,714,401   ",61.3   ,"5,373,635   ",57.7   ,"340,766   ",6.0   
40,Oklahoma,2021,01,"3,047,138   ","1,853,961   ",60.8   ,"1,761,974   ",57.8   ,"91,987   ",5.0   
41,Oregon,2021,01,"3,441,725   ","2,132,790   ",62.0   ,"1,997,279   ",58.0   ,"135,511   ",6.4   
42,Pennsylvania,2021,01,"10,421,289   ","6,454,300   ",61.9   ,"5,968,862   ",57.3   ,"485,438   ",7.5   
44,Rhode Island,2021,01,"896,626   ","565,572   ",63.1   ,"529,936   ",59.1   ,"35,636   ",6.3   
45,South Carolina,2021,01,"4,088,569   ","2,349,601   ",57.5   ,"2,240,667   ",54.8   ,"108,934   ",4.6   
46,South Dakota,2021,01,"678,825   ","464,142   ",68.4   ,"448,962   ",66.1   ,"15,180   ",3.3   
47,Tennessee,2021,01,"5,482,264   ","3,314,626   ",60.5   ,"3,142,669   ",57.3   ,"171,957   ",5.2   
48,Texas,2021,01,"22,299,960   ","14,084,103   ",63.2   ,"13,135,663   ",58.9   ,"948,440   ",6.7   
49,Utah,2021,01,"2,448,063   ","1,662,490   ",67.9   ,"1,607,823   ",65.7   ,"54,667   ",3.3   
50,Vermont,2021,01,"536,140   ","326,828   ",61.0   ,"314,222   ",58.6   ,"12,606   ",3.9   
51,Virginia,2021,01,"6,772,415   ","4,273,026   ",63.1   ,"4,070,041   ",60.1   ,"202,985   ",4.8   
53,Washington,2021,01,"6,127,843   ","3,866,736   ",63.1   ,"3,624,667   ",59.2   ,"242,069   ",6.3   
54,West Virginia,2021,01,"1,443,775   ","781,354   ",54.1   ,"734,917   ",50.9   ,"46,437   ",5.9   
55,Wisconsin,2021,01,"4,701,004   ","3,122,122   ",66.4   ,"2,981,670   ",63.4   ,"140,452   ",4.5   
56,Wyoming,2021,01,"451,665   ","290,921   ",64.4   ,"276,131   ",61.1   ,"14,790   ",5.1   
01,Alabama,2021,02,"3,966,920   ","2,251,260   ",56.8   ,"2,166,202   ",54.6   ,"85,058   ",3.8   
02,Alaska,2021,02,"544,796   ","350,283   ",64.3   ,"325,614   ",59.8   ,"24,669   ",7.0   
04,Arizona,2021,02,"5,717,688   ","3,494,553   ",61.1   ,"3,284,849   ",57.5   ,"209,704   ",6.0   
05,Arkansas,2021,02,"2,350,723   ","1,332,313   ",56.7   ,"1,268,940   ",54.0   ,"63,373   ",4.8   
06,California,2021,02,"31,043,692   ","18,706,712   ",60.3   ,"17,099,131   ",55.1   ,"1,607,581   ",8.6   
037,Los Angeles County,2021,02,"7,996,629   ","4,948,668   ",61.9   ,"4,419,040   ",55.3   ,"529,628   ",10.7   
08,Colorado,2021,02,"4,606,891   ","3,126,937   ",67.9   ,"2,932,239   ",63.6   ,"194,698   ",6.2   
09,Connecticut,2021,02,"2,920,254   ","1,846,719   ",63.2   ,"1,714,601   ",58.7   ,"132,118   ",7.2   
10,Delaware,2021,02,"800,193   ","493,461   ",61.7   ,"465,258   ",58.1   ,"28,203   ",5.7   
11,District of Columbia,2021,02,"553,514   ","376,087   ",67.9   ,"351,076   ",63.4   ,"25,011   ",6.7   
12,Florida,2021,02,"17,608,777   ","10,147,295   ",57.6   ,"9,578,055   ",54.4   ,"569,240   ",5.6   
13,Georgia,2021,02,"8,348,634   ","5,167,381   ",61.9   ,"4,929,263   ",59.0   ,"238,118   ",4.6   
15,Hawaii,2021,02,"1,118,963   ","660,593   ",59.0   ,"612,198   ",54.7   ,"48,395   ",7.3   
16,Idaho,2021,02,"1,447,808   ","910,009   ",62.9   ,"873,702   ",60.3   ,"36,307   ",4.0   
17,Illinois,2021,02,"10,059,316   ","6,280,559   ",62.4   ,"5,847,051   ",58.1   ,"433,508   ",6.9   
18,Indiana,2021,02,"5,303,295   ","3,334,943   ",62.9   ,"3,190,228   ",60.2   ,"144,715   ",4.3   
19,Iowa,2021,02,"2,501,179   ","1,666,487   ",66.6   ,"1,593,411   ",63.7   ,"73,076   ",4.4   
20,Kansas,2021,02,"2,251,588   ","1,492,655   ",66.3   ,"1,439,203   ",63.9   ,"53,452   ",3.6   
21,Kentucky,2021,02,"3,528,248   ","2,018,582   ",57.2   ,"1,923,746   ",54.5   ,"94,836   ",4.7   
22,Louisiana,2021,02,"3,571,707   ","2,056,686   ",57.6   ,"1,928,050   ",54.0   ,"128,636   ",6.3   
23,Maine,2021,02,"1,133,210   ","681,004   ",60.1   ,"649,369   ",57.3   ,"31,635   ",4.6   
24,Maryland,2021,02,"4,862,165   ","3,142,049   ",64.6   ,"2,961,596   ",60.9   ,"180,453   ",5.7   
25,Massachusetts,2021,02,"5,731,498   ","3,733,549   ",65.1   ,"3,482,778   ",60.8   ,"250,771   ",6.7   
26,Michigan,2021,02,"8,058,869   ","4,751,610   ",59.0   ,"4,451,853   ",55.2   ,"299,757   ",6.3   
27,Minnesota,2021,02,"4,486,360   ","3,012,179   ",67.1   ,"2,894,987   ",64.5   ,"117,192   ",3.9   
28,Mississippi,2021,02,"2,277,756   ","1,257,323   ",55.2   ,"1,175,460   ",51.6   ,"81,863   ",6.5   
